DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-02-20,Chinese,15,76,76,16,-2.3545045666434676,-2.4520407556272428,-1.2666666666666666,-6.19469026548673,5.51431601272535,3.590651192003,2025-02-20
2025-02-20,Global/Other,212,857,857,222,-1.6122188900920325,-1.5317284483665612,-1.2556603773584905,-9.52380952380953,4.72312703583061,2.7371395180417766,2025-02-20
2025-02-20,Western,21,66,66,21,-2.183508621800745,-2.04710731203305,-3.038095238095238,-3.2448377581121,-1.04712041884816,0.6312219884251438,2025-02-20
2025-02-21,Chinese,5,34,34,5,-3.766277256035292,-3.853340803519735,-1.6,-5.26315789473684,-2.61707988980716,1.0958251279728077,2025-02-21
2025-02-21,Global/Other,204,798,799,214,-1.7160332731711827,-1.4125829243063017,-1.0941176470588236,-8.47457627118647,4.60704607046071,2.4677382328585047,2025-02-21
2025-02-21,Western,14,47,47,14,-0.6643439371984751,-1.0684421707255716,-1.8142857142857143,-5.48302872062663,5.21327014218009,3.127428935879524,2025-02-21
2025-02-22,Chinese,1,10,10,1,-0.81967213114754,-0.81967213114754,-0.4,-0.81967213114754,-0.81967213114754,,2025-02-22
2025-02-22,Global/Other,140,462,462,144,-2.0558858951836507,-2.2285988399182832,-1.0657142857142858,-11.2554112554113,6.65399239543726,2.6130166538181556,2025-02-22
2025-02-22,Western,12,42,42,12,-0.3868234464785017,-0.7806884445809393,-2.4499999999999997,-4.20560747663552,1.49875104079934,1.7611146832169908,2025-02-22
2025-02-23,Chinese,1,2,2,1,0.53475935828877,0.53475935828877,0.0,0.53475935828877,0.53475935828877,,2025-02-23
2025-02-23,Global/Other,94,376,376,102,-2.0884618053921558,-2.0905970842974178,-0.43829787234042555,-6.91244239631336,9.41915227629513,2.263897084848106,2025-02-23
2025-02-23,Western,3,16,16,4,-2.2355801830361166,-1.5733634506497833,0.13333333333333333,-3.63636363636363,-1.23711340206186,1.2491975225477046,2025-02-23
2025-02-24,Chinese,12,58,58,12,-3.307667931788591,-3.2068223082231717,0.25,-4.57079152731327,-1.40845070422535,1.209875518469839,2025-02-24
2025-02-24,Global/Other,137,463,463,142,-2.022436278708064,-1.6729223824906245,-0.8963503649635036,-8.83977900552488,6.31578947368422,2.6153211373652017,2025-02-24
2025-02-24,Western,15,49,49,15,-2.5328801823281797,-2.6233745537077704,-1.4400000000000002,-4.63414634146342,0.5592841163311,1.9221538885558929,2025-02-24
2025-02-25,Global/Other,224,888,895,226,-2.165521804398425,-2.1387177159585447,-1.4080357142857143,-17.9487179487179,7.1578947368421,3.4468698780443243,2025-02-25
2025-02-25,Western,9,28,32,9,-1.322601400304599,-1.6591791160399543,-1.0,-3.10077519379845,0.17006802721089,1.339661033515205,2025-02-25
2025-02-26,Chinese,1,10,10,1,-2.6595744680851,-2.6595744680851,3.0,-2.6595744680851,-2.6595744680851,,2025-02-26
2025-02-26,Global/Other,160,539,539,160,-1.6733842558551744,-1.3940507007764047,-1.3543749999999999,-17.3553719008265,5.40865384615385,3.022592993058766,2025-02-26
2025-02-26,Western,12,23,23,12,-3.0561986750237384,-3.7961549510053283,-2.0833333333333335,-7.27272727272725,1.63934426229509,3.337227623808656,2025-02-26
2025-02-27,Chinese,3,13,13,3,-1.2212785568503568,-1.0308573512207764,-1.3333333333333333,-2.45901639344263,-0.60240963855422,1.071912409714101,2025-02-27
2025-02-27,Global/Other,192,736,738,192,-2.7527050138563767,-2.790026131507014,-1.34375,-23.4782608695652,6.55339805825243,3.8868361906396425,2025-02-27
2025-02-27,Western,18,49,49,18,-3.336359501186143,-3.5388137969735567,-1.8111111111111111,-5.65217391304348,-1.0989010989011,0.9343362520530528,2025-02-27
2025-02-28,Chinese,17,73,73,17,-0.92684582566401,-1.5695663779659632,-0.7647058823529411,-7.46124031007752,1.81268882175226,2.1173238731822157,2025-02-28
