DateStr,Date,WesternTone,ChineseTone,GlobalTone,WesternArticles,ChineseArticles,GlobalArticles,ToneGap,AbsToneGap
2025-02-18,2025-02-18,-1.93553916311289,,-2.1094247155726875,78,,739,,
2025-02-19,2025-02-19,-1.3317362587605268,-1.533067076867378,-2.16360572257487,6,19,827,0.20133081810685116,0.20133081810685116
2025-02-20,2025-02-20,-2.04710731203305,-2.4520407556272428,-1.5317284483665612,66,76,857,0.4049334435941927,0.4049334435941927
2025-02-21,2025-02-21,-1.0684421707255716,-3.853340803519735,-1.4125829243063017,47,34,798,2.7848986327941634,2.7848986327941634
2025-02-22,2025-02-22,-0.7806884445809393,-0.81967213114754,-2.2285988399182832,42,10,462,0.03898368656660067,0.03898368656660067
2025-02-23,2025-02-23,-1.5733634506497833,0.53475935828877,-2.0905970842974178,16,2,376,-2.1081228089385533,2.1081228089385533
2025-02-24,2025-02-24,-2.6233745537077704,-3.2068223082231717,-1.6729223824906245,49,58,463,0.5834477545154013,0.5834477545154013
2025-02-25,2025-02-25,-1.6591791160399543,,-2.1387177159585447,28,,888,,
2025-02-26,2025-02-26,-3.7961549510053283,-2.6595744680851,-1.3940507007764047,23,10,539,-1.1365804829202282,1.1365804829202282
2025-02-27,2025-02-27,-3.5388137969735567,-1.0308573512207764,-2.790026131507014,49,13,736,-2.5079564457527805,2.5079564457527805
2025-02-28,2025-02-28,-3.0063972609191536,-1.5695663779659632,-4.153324873182086,61,73,808,-1.4368308829531904,1.4368308829531904
2025-03-01,2025-03-01,1.6286644951140097,-0.6607790224351943,-4.104239904549206,5,31,423,2.289443517549204,2.289443517549204
2025-03-02,2025-03-02,-0.8261136053246997,1.418139510287032,-1.633283000454934,39,17,248,-2.244253115611732,2.244253115611732
2025-03-03,2025-03-03,-2.4745292569951762,-3.773778090569954,-2.4680866439593596,35,7,634,1.2992488335747776,1.2992488335747776
2025-03-04,2025-03-04,-1.284655336028732,-3.274357370960639,-2.8222229955397946,36,91,1112,1.9897020349319068,1.9897020349319068
2025-03-05,2025-03-05,-4.643477388985709,-1.5909079685101448,-3.860902997879084,85,46,1170,-3.0525694204755647,3.0525694204755647
2025-03-06,2025-03-06,-2.884547428901883,-7.074829931972814,-3.6690522114657074,51,14,907,4.1902825030709305,4.1902825030709305
2025-03-07,2025-03-07,-2.337102121186153,-8.170163170163153,-3.657806456656512,29,26,1286,5.833061048977001,5.833061048977001
2025-03-08,2025-03-08,-4.68598832836598,-3.841416898741739,-3.313435019216412,24,12,597,-0.8445714296242408,0.8445714296242408
2025-03-09,2025-03-09,-2.9956482172419943,-0.6874671019854216,-2.8019599942258306,32,12,449,-2.3081811152565725,2.3081811152565725
2025-03-10,2025-03-10,-2.397811564660921,-0.8595988538682,-2.180780954071768,44,10,724,-1.538212710792721,1.538212710792721
2025-03-11,2025-03-11,-0.79365079365079,1.035756296056294,-1.7569274736653173,4,17,635,-1.8294070897070842,1.8294070897070842
2025-03-12,2025-03-12,-2.6482848536674,-6.86274509803921,-2.8731813208976233,39,10,771,4.21446024437181,4.21446024437181
2025-03-13,2025-03-13,-1.7380501336957834,-2.27272727272727,-1.6956045949285894,48,20,627,0.5346771390314864,0.5346771390314864
2025-03-14,2025-03-14,-2.365912653896988,-9.60451977401127,-2.1396385351840697,53,7,766,7.238607120114283,7.238607120114283
2025-03-15,2025-03-15,-3.61990950226244,,-3.0826280482129764,3,,619,,
2025-03-16,2025-03-16,-3.4073802437201177,,-2.259695736397093,35,,367,,
2025-03-17,2025-03-17,-2.923300598294338,,-2.245013956335533,26,,529,,
2025-03-18,2025-03-18,-1.1790312822400089,-2.146138867756209,-2.650700814133443,67,17,663,0.9671075855162004,0.9671075855162004
2025-03-19,2025-03-19,-1.3623502630471072,-3.4179959948385226,-2.570600053085987,58,75,643,2.055645731791415,2.055645731791415
2025-03-20,2025-03-20,-5.710857018840043,-7.818330826647996,-2.3521609436314916,9,50,517,2.1074738078079527,2.1074738078079527
2025-03-21,2025-03-21,-1.2881907459863793,-2.420665194096536,-2.472385971595041,33,66,973,1.1324744481101565,1.1324744481101565
2025-03-22,2025-03-22,-2.1294903200174398,,-2.7647449576502723,21,,460,,
2025-03-23,2025-03-23,-3.070788159516387,,-1.84189067442138,22,,330,,
2025-03-24,2025-03-24,-2.839321182749507,0.02857008409687998,-1.927107678766133,16,15,512,-2.867891266846387,2.867891266846387
2025-03-25,2025-03-25,-1.504467219950177,0.057899914729956155,-2.3700300060733266,36,73,809,-1.562367134680133,1.562367134680133
2025-03-26,2025-03-26,-2.880734539296194,-3.5055874860588134,-2.8113371052951184,19,55,753,0.6248529467626196,0.6248529467626196
2025-03-27,2025-03-27,-1.5491287781822374,-1.7117631986798916,-1.740670762995401,31,85,933,0.1626344204976542,0.1626344204976542
2025-03-28,2025-03-28,-2.6669230818654377,-2.920862227288561,-1.5776082991752083,32,33,712,0.25393914542312324,0.25393914542312324
2025-03-29,2025-03-29,-2.6387153851354737,,-1.621673629066393,6,,269,,
2025-03-30,2025-03-30,-3.3224367831586537,-3.46964064436183,-1.4652478551384664,6,8,346,0.14720386120317652,0.14720386120317652
2025-03-31,2025-03-31,-3.920251608321243,0.2752862394400053,-2.721649761178875,44,34,492,-4.195537847761249,4.195537847761249
2025-04-01,2025-04-01,-2.2374614105424935,-4.905891675445166,-2.878148239903052,27,42,946,2.6684302649026725,2.6684302649026725
2025-04-02,2025-04-02,-2.147248732465356,-2.161667212153804,-3.4738744054293735,37,31,865,0.014418479688447672,0.014418479688447672
2025-04-03,2025-04-03,-2.3101004160529164,-3.035985327920602,-2.3654620044855137,87,42,1518,0.7258849118676856,0.7258849118676856
2025-04-04,2025-04-04,-2.634723276803901,-1.8165472295489298,-2.578576767229948,66,24,1761,-0.8181760472549711,0.8181760472549711
2025-04-05,2025-04-05,-0.46243327503505127,-2.06659012629161,-1.6934649197878435,36,2,937,1.604156851256559,1.604156851256559
2025-04-06,2025-04-06,-3.003537413443536,-0.9025270758122799,-1.9402736597311252,31,10,428,-2.101010337631256,2.101010337631256
2025-04-07,2025-04-07,-4.660192220380015,-0.811170981439224,-2.791252195009283,38,72,1241,-3.849021238940791,3.849021238940791
2025-04-08,2025-04-08,-3.510823526037076,-3.6027810797312814,-3.4704669952950513,91,114,2303,0.09195755369420544,0.09195755369420544
2025-04-09,2025-04-09,-2.4415859209672424,-1.3128328015304997,-3.0470379353367,138,55,3237,-1.1287531194367426,1.1287531194367426
2025-04-10,2025-04-10,-3.6096886602416767,-1.8821803826295858,-2.6422842861823512,155,107,2367,-1.727508277612091,1.727508277612091
2025-04-11,2025-04-11,-2.6212330188559347,-0.9017114969865708,-2.6231219683645395,142,52,1926,-1.719521521869364,1.719521521869364
2025-04-12,2025-04-12,-2.6131507471477047,-2.4223197583551297,-2.5054959390269174,36,13,974,-0.19083098879257498,0.19083098879257498
2025-04-13,2025-04-13,-1.8359377690878775,-3.47222222222222,-2.554361027485887,46,2,821,1.6362844531343426,1.6362844531343426
2025-04-14,2025-04-14,-1.877774442203791,-3.557152316667613,-2.3606307716970494,86,23,1326,1.679377874463822,1.679377874463822
2025-04-15,2025-04-15,-3.509440280250839,-2.8920370268871247,-2.591741177265009,66,62,1891,-0.6174032533637144,0.6174032533637144
2025-04-16,2025-04-16,-2.50630570244833,-6.765243748869915,-2.7486505525982334,103,44,2600,4.258938046421585,4.258938046421585
2025-04-17,2025-04-17,-0.7312042485174431,-2.2612881888337557,-2.974493611860172,103,41,2176,1.5300839403163127,1.5300839403163127
2025-04-18,2025-04-18,-2.358657404926963,-2.601668187404561,-2.686158896113477,86,15,1330,0.24301078247759778,0.24301078247759778
